student_id,gender,age,math_score,science_score,english_score,attendance_percentage,study_hours_per_day,parent_education,internet_access,extracurricular_activity,result
58,Male,20,95.0,58.0,94,75,,,No,Yes,Fail
59,Male,22,75.0,36.0,84,63,4.7,Graduate,No,No,Pass
60,Male,21,67.0,66.0,62,56,,Postgraduate,Yes,Yes,Fail
61,Male,23,67.0,58.0,75,52,2.6,High School,Yes,No,Pass
62,Male,23,48.0,46.0,98,96,4.8,High School,Yes,Yes,Pass
63,Male,21,55.0,84.0,61,72,4.0,High School,No,Yes,Fail
64,Male,23,82.0,69.0,97,95,3.3,,Yes,No,Pass
65,Male,19,54.0,67.0,51,92,6.1,Postgraduate,No,Yes,Pass
66,Female,21,42.0,67.0,67,96,5.9,Postgraduate,No,No,Fail
67,Female,20,41.0,95.0,63,94,2.2,Postgraduate,Yes,Yes,Pass
68,Male,21,51.0,85.0,47,67,7.2,Postgraduate,Yes,No,Pass
69,Female,24,67.0,77.0,80,87,4.5,High School,No,No,Pass
70,Female,23,82.0,46.0,69,84,6.2,Graduate,No,No,Pass
71,Female,19,,99.0,40,64,5.0,High School,No,No,Fail
72,Female,19,56.0,67.0,81,74,8.0,Postgraduate,Yes,Yes,Fail
73,Male,22,64.0,74.0,59,86,6.3,High School,No,Yes,Fail
74,Female,20,72.0,77.0,44,77,5.9,Postgraduate,Yes,No,Pass
75,Male,18,85.0,78.0,90,59,6.5,Postgraduate,No,No,Pass
76,Female,18,88.0,63.0,64,88,2.0,High School,No,No,Fail
77,Female,21,42.0,47.0,39,66,,Postgraduate,Yes,Yes,Pass
78,Female,22,61.0,46.0,67,88,6.0,Graduate,No,Yes,Pass
79,Male,17,61.0,80.0,99,71,4.5,Postgraduate,Yes,Yes,Pass
80,Female,21,55.0,36.0,52,75,6.3,Graduate,Yes,Yes,Pass
81,Male,22,64.0,69.0,83,93,1.7,Graduate,No,No,Fail
82,Female,20,62.0,42.0,45,74,4.8,Postgraduate,Yes,No,Fail
83,Male,20,98.0,60.0,60,66,3.7,High School,Yes,No,Fail
84,Female,20,95.0,68.0,97,62,4.2,,No,Yes,Pass
85,Male,20,82.0,41.0,93,69,5.2,High School,Yes,Yes,Fail
86,Male,20,53.0,92.0,61,74,4.5,Graduate,Yes,Yes,Fail
87,Female,22,38.0,63.0,83,53,4.8,Postgraduate,Yes,No,Pass
88,Male,22,69.0,70.0,67,59,4.4,Postgraduate,No,No,Pass
89,Female,19,98.0,55.0,35,52,3.9,Graduate,Yes,Yes,Fail
90,Female,24,83.0,70.0,55,90,6.4,Postgraduate,No,No,Fail
91,Female,18,51.0,44.0,89,94,1.1,Graduate,No,Yes,Fail
92,Female,23,,58.0,40,67,5.2,Postgraduate,Yes,Yes,Fail
93,Female,20,64.0,98.0,39,96,5.0,High School,Yes,No,Pass
94,Female,17,80.0,,37,85,6.0,Postgraduate,Yes,Yes,Fail
95,Female,23,40.0,70.0,87,96,,High School,No,No,Fail
96,Female,22,71.0,,57,71,,Postgraduate,Yes,Yes,Pass
97,Female,17,58.0,57.0,87,83,7.7,High School,Yes,No,Fail
98,Female,17,80.0,96.0,71,96,3.4,Postgraduate,Yes,No,Pass
99,Female,17,87.0,71.0,51,57,2.6,High School,Yes,No,Pass
100,Male,19,94.0,46.0,35,89,4.0,Graduate,Yes,Yes,Pass
101,Male,22,97.0,89.0,85,98,3.0,Graduate,No,Yes,Fail
102,Female,17,66.0,47.0,79,93,5.3,High School,No,No,Fail
103,Female,20,,57.0,38,68,7.4,Postgraduate,Yes,No,Pass
104,Female,21,52.0,64.0,96,91,2.0,High School,Yes,Yes,Fail
105,Female,17,59.0,51.0,99,90,1.7,Postgraduate,Yes,Yes,Fail
106,Female,19,88.0,96.0,66,86,2.8,Graduate,Yes,Yes,Pass
107,Female,23,92.0,47.0,68,55,6.1,Postgraduate,No,No,Pass
108,Female,22,80.0,93.0,73,75,5.2,Graduate,Yes,Yes,Fail
109,Female,24,58.0,53.0,60,83,1.7,Postgraduate,No,Yes,Pass
110,Male,19,66.0,83.0,68,94,7.4,Postgraduate,No,No,Fail
111,Female,17,81.0,46.0,88,55,6.5,Postgraduate,Yes,Yes,Fail
112,Male,22,57.0,95.0,37,86,1.2,High School,No,Yes,Fail
113,Female,21,61.0,53.0,84,82,5.6,High School,No,Yes,Fail
114,Female,17,36.0,43.0,46,71,6.4,Graduate,No,No,Pass
115,Male,19,51.0,62.0,99,70,3.6,Graduate,No,No,Pass
116,Female,18,67.0,86.0,88,55,1.5,High School,Yes,No,Pass
117,Male,20,43.0,50.0,39,55,1.5,Graduate,Yes,No,Pass
118,Female,24,77.0,46.0,91,97,1.7,High School,No,No,Fail
119,Female,23,82.0,59.0,51,53,,Postgraduate,Yes,No,Fail
120,Male,19,73.0,86.0,81,79,7.4,Graduate,Yes,No,Pass
121,Female,22,76.0,87.0,57,60,1.9,Graduate,Yes,Yes,Fail
122,Male,24,,57.0,48,79,2.7,High School,Yes,Yes,Fail
123,Female,24,84.0,50.0,85,80,2.2,Graduate,Yes,No,Fail
124,Male,24,,91.0,72,73,2.3,Graduate,No,Yes,Pass
125,Male,17,58.0,73.0,98,58,6.9,Postgraduate,Yes,Yes,Pass
126,Female,20,47.0,,72,52,,Graduate,Yes,No,Pass
127,Female,17,94.0,76.0,84,80,3.2,Postgraduate,Yes,Yes,Fail
128,Male,22,41.0,92.0,64,89,2.6,High School,Yes,Yes,Pass
129,Female,17,,73.0,85,86,5.3,Graduate,No,Yes,Pass
130,Female,18,70.0,48.0,97,85,3.7,Postgraduate,No,Yes,Pass
131,Female,20,79.0,39.0,86,73,6.2,High School,No,Yes,Pass
132,Male,20,54.0,69.0,72,80,2.4,Graduate,No,No,Pass
133,Male,22,,52.0,64,55,6.5,High School,Yes,No,Pass
134,Male,23,42.0,43.0,85,51,5.2,Graduate,No,No,Fail
135,Male,18,50.0,92.0,39,69,1.8,High School,Yes,Yes,Fail
136,Male,19,48.0,51.0,63,77,3.9,,Yes,No,Pass
137,Male,17,49.0,41.0,38,60,7.0,Postgraduate,Yes,Yes,Pass
138,Male,21,66.0,80.0,44,53,7.5,High School,Yes,Yes,Fail
139,Male,17,97.0,47.0,90,64,4.3,Graduate,Yes,Yes,Fail
140,Male,24,85.0,74.0,51,55,4.4,Graduate,No,Yes,Pass
141,Female,17,59.0,76.0,51,98,7.4,Postgraduate,No,No,Pass
142,Male,19,92.0,43.0,68,79,5.1,Graduate,No,No,Pass
143,Female,17,97.0,84.0,40,87,1.2,Graduate,No,Yes,Pass
144,Female,18,96.0,61.0,87,51,7.4,Graduate,Yes,No,Fail
145,Female,18,,39.0,77,64,2.7,High School,No,Yes,Pass
146,Male,20,92.0,63.0,57,60,5.0,High School,Yes,No,Pass
147,Male,22,92.0,71.0,89,57,2.2,Graduate,No,No,Pass
148,Male,23,83.0,72.0,50,75,1.2,Postgraduate,Yes,Yes,Pass
149,Male,21,86.0,42.0,42,94,3.2,High School,Yes,No,Fail
150,Female,24,76.0,99.0,38,93,6.5,Postgraduate,No,Yes,Fail
